run;image;threadsperblock;time
4;2;1024;threadsPerblock=1024 real 0m0.460s user 0m0.139s sys 0m0.316s
4;3;32;threadsPerblock=32 real 0m1.280s user 0m0.491s sys 0m0.767s
4;3;64;threadsPerblock=64 real 0m1.402s user 0m0.479s sys 0m0.755s
4;3;128;threadsPerblock=128 real 0m1.565s user 0m0.493s sys 0m0.715s
4;3;256;threadsPerblock=256 real 0m1.790s user 0m0.481s sys 0m0.730s
4;3;512;threadsPerblock=512 real 0m1.584s user 0m0.481s sys 0m0.731s
4;3;1024;threadsPerblock=1024 real 0m1.184s user 0m0.444s sys 0m0.737s
5;1;32;threadsPerblock=32 real 0m0.295s user 0m0.057s sys 0m0.217s
5;1;64;threadsPerblock=64 real 0m0.335s user 0m0.055s sys 0m0.204s
5;1;128;threadsPerblock=128 real 0m0.510s user 0m0.063s sys 0m0.206s
5;1;256;threadsPerblock=256 real 0m0.258s user 0m0.057s sys 0m0.199s
5;1;512;threadsPerblock=512 real 0m0.257s user 0m0.047s sys 0m0.209s
5;1;1024;threadsPerblock=1024 real 0m0.258s user 0m0.055s sys 0m0.202s
5;2;32;threadsPerblock=32 real 0m0.450s user 0m0.147s sys 0m0.299s
5;2;64;threadsPerblock=64 real 0m0.438s user 0m0.133s sys 0m0.303s
5;2;128;threadsPerblock=128 real 0m0.453s user 0m0.143s sys 0m0.301s
5;2;256;threadsPerblock=256 real 0m0.444s user 0m0.152s sys 0m0.288s
5;2;512;threadsPerblock=512 real 0m0.451s user 0m0.131s sys 0m0.314s
5;2;1024;threadsPerblock=1024 real 0m0.445s user 0m0.142s sys 0m0.298s
5;3;32;threadsPerblock=32 real 0m1.205s user 0m0.479s sys 0m0.723s
5;3;64;threadsPerblock=64 real 0m1.568s user 0m0.479s sys 0m0.724s
5;3;128;threadsPerblock=128 real 0m1.585s user 0m0.466s sys 0m0.740s
5;3;256;threadsPerblock=256 real 0m1.181s user 0m0.465s sys 0m0.711s
5;3;512;threadsPerblock=512 real 0m1.556s user 0m0.477s sys 0m0.723s
5;3;1024;threadsPerblock=1024 real 0m1.809s user 0m0.488s sys 0m0.722s
