threads;run;image;time
2;1;1; real 0m1.481s user 0m0.424s sys 0m1.129s
2;1;2; real 0m36.504s user 0m2.276s sys 0m34.535s
2;1;3; real 3m45.366s user 0m10.555s sys 3m36.426s
2;2;1; real 0m1.468s user 0m0.391s sys 0m1.135s
2;2;2; real 0m37.045s user 0m2.295s sys 0m35.047s
